Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
2020-05-15,9136.849609375,9182.400390625,9050.0,9182.400390625,575900,9292.365,,49.5694227888715
2020-05-18,8823.25,9158.2998046875,8806.75,9158.2998046875,773000,9244.795,,39.678489040776455
2020-05-19,8879.099609375,9030.349609375,8855.2998046875,8961.7001953125,762200,9199.7219921875,,38.496095096774084
2020-05-20,9066.5498046875,9093.7998046875,8875.349609375,8889.150390625,622300,9154.9869921875,,38.916230527142936
2020-05-21,9106.25,9178.5498046875,9056.099609375,9079.4501953125,631500,9112.0919921875,,30.466799497026514
2020-05-22,9039.25,9149.599609375,8968.5498046875,9067.900390625,675800,9067.4969921875,,41.108597563224606
2020-05-26,9029.0498046875,9161.650390625,8996.650390625,9099.75,655000,9028.288984375,,43.47104119101395
2020-05-27,9314.9501953125,9334.0,9004.25,9082.2001953125,763500,9005.558984375,,51.40049490963397
2020-05-28,9490.099609375,9511.25,9336.5,9364.9501953125,837900,8986.19296875,,58.6831280995564
2020-05-29,9580.2998046875,9598.849609375,9376.900390625,9422.2001953125,967000,8985.99595703125,,59.59327091129677
2020-06-01,9826.150390625,9931.599609375,9706.9501953125,9726.849609375,794200,8983.4149609375,,65.0712517897577
2020-06-02,9979.099609375,9995.599609375,9824.0498046875,9880.849609375,770200,8999.0489453125,,69.01654586695055
2020-06-03,10061.5498046875,10176.2001953125,10035.5498046875,10108.2998046875,794700,9020.9389453125,,67.357910906298
2020-06-04,10029.099609375,10123.849609375,9944.25,10054.25,775100,9052.14494140625,,75.40192620074087
2020-06-05,10142.150390625,10177.7998046875,10040.75,10093.7998046875,987100,9089.7189453125,,77.14386967078076
2020-06-08,10167.4501953125,10328.5,10120.25,10326.75,936500,9118.1589453125,,92.98686778782343
2020-06-09,10046.650390625,10291.150390625,10021.4501953125,10181.150390625,754200,9166.886953125,,85.84850443829032
2020-06-10,10116.150390625,10148.75,10036.849609375,10072.599609375,632400,9213.18896484375,,84.74345936293642
2020-06-11,9902.0,10112.0498046875,9885.0498046875,10094.099609375,715500,9244.87197265625,,73.61344391702745
2020-06-12,9972.900390625,9996.0498046875,9544.349609375,9544.9501953125,796300,9271.5009765625,,77.64157642258746
2020-06-15,9813.7001953125,9943.349609375,9726.349609375,9919.349609375,716100,9294.56998046875,,71.34694680014454
2020-06-16,9914.0,10046.150390625,9728.5,10014.7998046875,899900,9327.22798828125,,68.12829325523596
2020-06-17,9881.150390625,10003.599609375,9833.7998046875,9876.7001953125,685400,9352.89599609375,,62.94912009520175
2020-06-18,10091.650390625,10111.2001953125,9845.0498046875,9863.25,622900,9389.6530078125,,65.68318600292204
2020-06-19,10244.400390625,10272.400390625,10072.650390625,10119.0,892100,9432.86501953125,,63.604719569109335
2020-06-22,10311.2001953125,10393.650390625,10277.599609375,10318.75,685400,9463.24501953125,,61.44384432890818
2020-06-23,10471.0,10484.7001953125,10301.75,10347.9501953125,669200,9497.69001953125,,63.39516597434811
2020-06-24,10305.2998046875,10553.150390625,10281.9501953125,10529.25,854800,9521.5580078125,,58.31126919579965
2020-06-25,10288.900390625,10361.7998046875,10194.5,10235.5498046875,994200,9547.4590234375,,54.688650540278125
2020-06-26,10383.0,10409.849609375,10311.25,10378.900390625,671900,9576.61302734375,,56.59678449979946
2020-06-29,10312.400390625,10337.9501953125,10223.599609375,10311.9501953125,574500,9603.0050390625,,58.39096323650029
2020-06-30,10302.099609375,10401.0498046875,10267.349609375,10382.599609375,556200,9623.71203125,,56.099296959384574
2020-07-01,10430.0498046875,10447.0498046875,10299.599609375,10323.7998046875,573600,9647.07603515625,,68.35865590612937
2020-07-02,10551.7001953125,10598.2001953125,10485.5498046875,10493.0498046875,597400,9678.48103515625,,69.4371694696363
2020-07-03,10607.349609375,10631.2998046875,10562.650390625,10614.9501953125,525200,9706.88203125,,78.64439301648036
2020-07-06,10763.650390625,10811.400390625,10695.099609375,10723.849609375,571200,9735.87703125,,79.47412567702526
2020-07-07,10799.650390625,10813.7998046875,10689.7001953125,10802.849609375,636800,9768.78203125,,81.79300796123226
2020-07-08,10705.75,10847.849609375,10676.5498046875,10818.650390625,767900,9797.25103515625,,73.122954617325
2020-07-09,10813.4501953125,10836.849609375,10733.0,10755.5498046875,618700,9825.90203125,,72.17911465783217
2020-07-10,10768.0498046875,10819.400390625,10713.0,10764.099609375,590700,9850.19603515625,,68.1080972280499
2020-07-13,10802.7001953125,10894.0498046875,10756.0498046875,10851.849609375,554100,9869.05203125,,64.59560336996475
2020-07-14,10607.349609375,10755.650390625,10562.900390625,10750.849609375,532400,9895.3290234375,,62.95292457294576
2020-07-15,10618.2001953125,10827.4501953125,10577.75,10701.0,715900,9923.58103515625,,64.18902371801292
2020-07-16,10739.9501953125,10755.2998046875,10595.2001953125,10706.2001953125,694400,9952.96203125,,65.02247718374738
2020-07-17,10901.7001953125,10933.4501953125,10749.650390625,10752.0,676900,9987.0150390625,,73.03384596592883
2020-07-20,11022.2001953125,11037.900390625,10953.0,10999.4501953125,554300,10022.42904296875,,75.91402278265528
2020-07-21,11162.25,11179.5498046875,11113.25,11126.099609375,772000,10060.8900390625,,76.121964492638
